category,neighborhood,primary_type,classification,year,beat,community_area,domestic,iucr,longitude,location_description,case_number,crime_date,latitude,community_number,ward,fbi_code,id,block,description
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1612,/api/1.0-beta1/communityarea/10/,True,0486,-87.8034569652,RESIDENCE,HS664991,2010-12-17T13:01:00,41.99484196,10,41,08B,7853038,062XX N NORTHWEST HWY,DOMESTIC BATTERY SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/93/,2010,1614,/api/1.0-beta1/communityarea/10/,False,0890,-87.8321235721,HOTEL/MOTEL,HS665135,2010-12-17T13:00:00,41.9856459044,10,41,06,7852503,082XX W HIGGINS RD,FROM BUILDING
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/79/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0620,-87.7928115348,RESIDENCE,HS669554,2010-12-17T09:00:00,41.988672764,10,41,05,7855502,059XX N NORTHWEST HWY,UNLAWFUL ENTRY
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0560,-87.8001903297,ALLEY,HS662967,2010-12-16T07:50:00,41.9873434019,10,41,08A,7849869,058XX N EAST CIRCLE AVE,SIMPLE
V,None,ASSAULT,/api/1.0-beta1/crimeclassification/63/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0530,-87.8010820794,STREET,HS663099,2010-12-16T07:20:00,41.9871499574,10,41,04A,7852840,058XX N NICKERSON AVE,AGGRAVATED: OTHER DANG WEAPON
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1611,/api/1.0-beta1/communityarea/10/,True,0486,-87.7924762317,RESIDENCE,HS661104,2010-12-14T21:08:00,41.9974306667,10,41,08B,7847857,066XX W DEVON AVE,DOMESTIC BATTERY SIMPLE
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/123/,2010,1612,/api/1.0-beta1/communityarea/10/,False,1152,-87.7956051734,RESIDENCE,HS673846,2010-12-14T09:00:00,41.9884608594,10,41,11,7860282,067XX W THORNDALE AVE,ILLEGAL USE CASH CARD
P,None,MOTOR VEHICLE THEFT,/api/1.0-beta1/crimeclassification/95/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0910,-87.784204029,STREET,HS660799,2010-12-14T04:00:00,41.9831325327,10,45,07,7849726,056XX N AVONDALE AVE,AUTOMOBILE
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0560,-87.7937375544,VEHICLE NON-COMMERCIAL,HS661008,2010-12-14T03:00:00,41.9757135016,10,41,08A,7874683,066XX W FOSTER AVE,SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/84/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0840,-87.7870888881,OTHER,HS682681,2010-12-13T11:40:00,41.9963184555,10,45,06,7868027,063XX N MILWAUKEE AVE,FINANCIAL ID THEFT: OVER $300
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0560,-87.7803192838,RESIDENCE,HS659121,2010-12-13T09:30:00,41.9895956879,10,45,08A,7847020,059XX N MILWAUKEE AVE,SIMPLE
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1320,-87.8226792406,STREET,HS657828,2010-12-12T20:00:00,41.9767514745,10,41,14,7844917,078XX W SUMMERDALE AVE,TO VEHICLE
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/79/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0620,-87.818223103,RESIDENCE,HS663547,2010-12-12T10:00:00,41.9825383068,10,41,05,7854038,056XX N OTTAWA AVE,UNLAWFUL ENTRY
-,None,BATTERY,/api/1.0-beta1/crimeclassification/36/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0460,-87.8070283784,RESIDENCE,HS657056,2010-12-12T03:50:00,41.989109291,10,41,08B,7844455,059XX N HARLEM AVE,SIMPLE
-,None,BATTERY,/api/1.0-beta1/crimeclassification/36/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0460,-87.806864938,SIDEWALK,HS656991,2010-12-12T02:15:00,41.977248092,10,41,08B,7844372,053XX N HARLEM AVE,SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0810,-87.8070023206,RESIDENCE,HT107875,2010-12-12T00:01:00,41.9918259301,10,41,06,7881206,060XX N HARLEM AVE,OVER $300
V,None,ROBBERY,/api/1.0-beta1/crimeclassification/362/,2010,1613,/api/1.0-beta1/communityarea/10/,False,031A,-87.8072129464,RESTAURANT,HS656877,2010-12-11T23:55:00,41.975180555,10,41,03,7844295,052XX N HARLEM AVE,ARMED: HANDGUN
P,None,THEFT,/api/1.0-beta1/crimeclassification/89/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0860,-87.8113517454,GROCERY FOOD STORE,HS656167,2010-12-11T14:24:00,41.9745408379,10,41,06,7844390,073XX W FOSTER AVE,RETAIL THEFT
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0560,-87.8067196002,RESIDENCE,HS655595,2010-12-11T07:00:00,41.9908696518,10,41,08A,7857877,060XX N HARLEM AVE,SIMPLE
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1310,-87.790018415,RESIDENTIAL YARD (FRONT/BACK),HS655795,2010-12-11T01:30:00,41.9888214864,10,41,14,7844397,058XX N NAVARRE AVE,TO PROPERTY
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1320,-87.7896962749,STREET,HS656253,2010-12-11T00:01:00,41.9886388441,10,41,14,7843888,058XX N NAVARRE AVE,TO VEHICLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1614,/api/1.0-beta1/communityarea/10/,False,0820,-87.83263426,PARKING LOT/GARAGE(NON.RESID.),HS655081,2010-12-10T18:00:00,41.9857194823,10,41,06,7843053,082XX W HIGGINS RD,$300 AND UNDER
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/118/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1130,-87.7876396521,GROCERY FOOD STORE,HS659159,2010-12-10T17:00:00,41.9960109808,10,41,11,7846341,063XX N NAGLE AVE,FRAUD OR CONFIDENCE GAME
P,None,MOTOR VEHICLE THEFT,/api/1.0-beta1/crimeclassification/95/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0910,-87.8026344515,STREET,HS653929,2010-12-09T22:00:00,41.9711858673,10,41,07,7841926,049XX N NORDICA AVE,AUTOMOBILE
-,None,CRIMINAL TRESPASS,/api/1.0-beta1/crimeclassification/152/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1365,-87.7891710703,RESIDENCE,HS653519,2010-12-09T20:30:00,41.9790426226,10,41,26,7842779,053XX N NATCHEZ AVE,TO RESIDENCE
P,None,THEFT,/api/1.0-beta1/crimeclassification/89/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0860,-87.806864938,OTHER,HS658893,2010-12-09T13:00:00,41.977248092,10,41,06,7846344,053XX N HARLEM AVE,RETAIL THEFT
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/382/,2010,1612,/api/1.0-beta1/communityarea/10/,False,502P,-87.793717822,STREET,HS652403,2010-12-09T08:50:00,41.9858916633,10,41,26,7844552,057XX N NATOMA AVE,FALSE/STOLEN/ALTERED TRP
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/296/,2010,1613,/api/1.0-beta1/communityarea/10/,True,2820,-87.8098196851,RESIDENCE,HS651845,2010-12-08T17:50:00,41.9784031941,10,41,26,7839797,073XX W RASCHER AVE,TELEPHONE THREAT
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/123/,2010,1612,/api/1.0-beta1/communityarea/10/,False,1152,-87.8180800039,RESIDENCE,HS651959,2010-12-08T16:30:00,41.9911626939,10,41,11,7839916,076XX W TALCOTT AVE,ILLEGAL USE CASH CARD
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/296/,2010,1613,/api/1.0-beta1/communityarea/10/,False,2820,-87.7925631834,RESIDENCE,HS651946,2010-12-08T16:00:00,41.9762924918,10,41,26,7839821,052XX N NATOMA AVE,TELEPHONE THREAT
-,None,SEX OFFENSE,/api/1.0-beta1/crimeclassification/185/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1563,-87.7880056479,RESTAURANT,HS662278,2010-12-08T13:30:00,41.9764053993,10,41,17,7849324,052XX N NAGLE AVE,CRIMINAL SEXUAL ABUSE
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1622,/api/1.0-beta1/communityarea/10/,True,0486,-87.785114584,RESIDENCE,HS650824,2010-12-08T05:15:00,41.9850331286,10,45,08B,7839263,057XX N MOBILE AVE,DOMESTIC BATTERY SIMPLE
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1622,/api/1.0-beta1/communityarea/10/,True,0486,-87.78507913,RESIDENCE-GARAGE,HS650123,2010-12-07T15:55:00,41.9874506008,10,45,08B,7841577,058XX N MOBILE AVE,DOMESTIC BATTERY SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0810,-87.8071302344,PARKING LOT/GARAGE(NON.RESID.),HS649553,2010-12-07T10:00:00,41.979867281,10,41,06,7837742,054XX N HARLEM AVE,OVER $300
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/297/,2010,1613,/api/1.0-beta1/communityarea/10/,False,2825,-87.8088136976,RESIDENCE,HS648991,2010-12-06T19:50:00,41.974608852,10,41,26,7837052,072XX W FOSTER AVE,HARASSMENT BY TELEPHONE
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/297/,2010,1613,/api/1.0-beta1/communityarea/10/,False,2825,-87.7904786145,RESIDENCE,HS648988,2010-12-06T19:00:00,41.9740516133,10,41,26,7837054,051XX N NEENAH AVE,HARASSMENT BY TELEPHONE
Q,None,NARCOTICS,/api/1.0-beta1/crimeclassification/281/,2010,1622,/api/1.0-beta1/communityarea/10/,False,2093,-87.785114584,RESIDENCE,HS648747,2010-12-06T17:15:00,41.9850331286,10,45,26,7836877,057XX N MOBILE AVE,FOUND SUSPECT NARCOTICS
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0820,-87.7917011398,RESIDENTIAL YARD (FRONT/BACK),HS648476,2010-12-06T07:00:00,41.973428964,10,41,06,7836726,050XX N NASHVILLE AVE,$300 AND UNDER
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1320,-87.7947851751,STREET,HS648202,2010-12-06T00:01:00,41.9914838683,10,41,14,7836508,060XX N NAVARRE AVE,TO VEHICLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0820,-87.803631317,RESIDENTIAL YARD (FRONT/BACK),HS648426,2010-12-05T18:00:00,41.9817995754,10,41,06,7836641,055XX N NOTTINGHAM AVE,$300 AND UNDER
P,None,MOTOR VEHICLE THEFT,/api/1.0-beta1/crimeclassification/95/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0910,-87.8215376655,STREET,HS648169,2010-12-05T16:30:00,41.9815322872,10,41,07,7836460,077XX W BRYN MAWR AVE,AUTOMOBILE
P,None,THEFT,/api/1.0-beta1/crimeclassification/93/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0890,-87.7928831812,STREET,HS651021,2010-12-05T06:15:00,41.9749822678,10,41,06,7840490,051XX N NATOMA AVE,FROM BUILDING
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0820,-87.779340913,VEHICLE NON-COMMERCIAL,HS647232,2010-12-05T03:30:00,41.9857682993,10,45,06,7836594,057XX N MC VICKER AVE,$300 AND UNDER
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/121/,2010,1614,/api/1.0-beta1/communityarea/10/,False,1150,-87.8364374114,HOTEL/MOTEL,HT115557,2010-12-05T00:01:00,41.9814715121,10,41,11,7885081,056XX N CUMBERLAND AVE,CREDIT CARD FRAUD
P,None,THEFT,/api/1.0-beta1/crimeclassification/93/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0890,-87.8129916366,HOSPITAL BUILDING/GROUNDS,HS646557,2010-12-04T20:00:00,41.9885794028,10,41,06,7835090,074XX W TALCOTT AVE,FROM BUILDING
-,None,OFFENSE INVOLVING CHILDREN,/api/1.0-beta1/crimeclassification/238/,2010,1622,/api/1.0-beta1/communityarea/10/,False,1780,-87.7865933937,RESIDENCE,HS645433,2010-12-04T10:00:00,41.9871587048,10,45,26,7834272,058XX N MULLIGAN AVE,OTHER OFFENSE
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1611,/api/1.0-beta1/communityarea/10/,True,0560,-87.7916073296,APARTMENT,HS645017,2010-12-04T00:01:00,41.9897043954,10,41,08A,7833962,059XX N NAVARRE AVE,SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0810,-87.8022026712,RESIDENCE,HS645300,2010-12-03T23:00:00,41.9806651064,10,41,06,7834182,054XX N NORDICA AVE,OVER $300
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0820,-87.7905119369,RESIDENTIAL YARD (FRONT/BACK),HS645530,2010-12-03T21:00:00,41.9722927335,10,41,06,7834411,050XX N NEENAH AVE,$300 AND UNDER
-,None,BATTERY,/api/1.0-beta1/crimeclassification/36/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0460,-87.7881679479,STREET,HS644714,2010-12-03T19:30:00,41.9974734035,10,41,08B,7833811,064XX N MILWAUKEE AVE,SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/89/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0860,-87.787640121,DRUG STORE,HS644244,2010-12-03T14:15:00,41.9959560991,10,41,06,7833377,063XX N NAGLE AVE,RETAIL THEFT
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0810,-87.806903692,PARKING LOT/GARAGE(NON.RESID.),HS644086,2010-12-03T12:46:00,41.9761149121,10,41,06,7835369,052XX N HARLEM AVE,OVER $300
